                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.5546,                 1.0567,                0.91526,                0.65979,                0.51301,                0.57591,                0.38974,                   1.53,                 1.0355,                0.91616,             0.00015723,             0.00015723,             0.00015723
                     77,                 1.5576,                 1.0699,                0.91654,                0.68679,                0.52478,                0.58727,                0.40066,                 1.5417,                 1.0093,                0.91519,             0.00015141,             0.00015141,             0.00015141
                     78,                 1.5497,                 1.0504,                 0.9114,                0.67091,                0.52066,                0.57606,                0.39301,                 1.5525,                 1.0311,                 0.9177,             0.00014559,             0.00014559,             0.00014559
                     79,                 1.5421,                 1.0426,                0.91188,                0.67205,                0.53044,                0.57711,                0.38909,                 1.5774,                 1.0219,                0.92028,             0.00013977,             0.00013977,             0.00013977
                     80,                 1.5554,                 1.0505,                0.91815,                0.67957,                0.52881,                0.58937,                0.40415,                 1.5293,                0.99913,                0.91494,             0.00013395,             0.00013395,             0.00013395
                     81,                  1.584,                 1.0669,                0.91461,                0.69525,                0.53109,                0.58712,                0.40143,                 1.5259,                 1.0063,                  0.914,             0.00012813,             0.00012813,             0.00012813
                     82,                 1.5332,                 1.0448,                0.91357,                 0.6988,                0.53413,                0.59373,                0.40963,                 1.5223,                0.99363,                0.91229,              0.0001223,              0.0001223,              0.0001223
                     83,                 1.5403,                 1.0271,                0.90964,                0.70397,                0.52805,                0.59023,                 0.4075,                 1.5171,                0.98913,                0.90893,             0.00011648,             0.00011648,             0.00011648
                     84,                 1.5344,                 1.0313,                 0.9115,                 0.6768,                0.53384,                0.59342,                0.41033,                 1.5293,                0.98502,                0.91406,             0.00011066,             0.00011066,             0.00011066
                     85,                   1.54,                 1.0388,                0.91074,                 0.7295,                0.51293,                0.58606,                0.40226,                 1.5114,                 1.0204,                0.91024,             0.00010484,             0.00010484,             0.00010484
                     86,                 1.5262,                 1.0301,                0.90952,                0.70566,                0.52089,                0.59409,                0.40608,                 1.5429,                0.99671,                0.91598,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     87,                 1.5237,                 1.0292,                0.91305,                0.69474,                0.52783,                0.59859,                0.41551,                 1.5316,                 0.9859,                0.91387,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     88,                 1.5337,                  1.035,                0.90842,                0.70571,                0.51788,                 0.5879,                0.40065,                 1.5349,                  1.008,                0.91484,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     89,                 1.4822,                0.99805,                0.90888,                0.70922,                0.53784,                0.59775,                 0.4097,                 1.5114,                0.97225,                0.91123,             8.1556e-05,             8.1556e-05,             8.1556e-05
                     90,                  1.527,                 1.0232,                0.91015,                    0.7,                 0.5331,                0.59447,                0.40839,                 1.5225,                0.97417,                0.91009,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     91,                 1.5886,                 1.1394,                0.91674,                0.70575,                0.52564,                0.58776,                0.41124,                 1.5262,                 1.0001,                0.91119,             6.9913e-05,             6.9913e-05,             6.9913e-05
                     92,                 1.5522,                  1.056,                 0.9116,                0.70062,                0.51196,                0.58053,                0.40217,                 1.5208,                 1.0257,                0.91594,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     93,                 1.5436,                 1.0369,                0.90756,                0.68364,                0.52252,                0.57847,                0.39591,                 1.5316,                 1.0229,                0.91562,             5.8271e-05,             5.8271e-05,             5.8271e-05
                     94,                 1.5128,                 1.0168,                0.90271,                0.71881,                0.50738,                0.58458,                 0.4014,                 1.5212,                 1.0231,                 0.9141,              5.245e-05,              5.245e-05,              5.245e-05
                     95,                 1.5145,                 1.0083,                0.90288,                0.70496,                0.51836,                0.58496,                0.40448,                  1.515,                 1.0077,                0.91338,             4.6628e-05,             4.6628e-05,             4.6628e-05
                     96,                 1.5159,                 1.0101,                0.90266,                0.68967,                0.52566,                0.58274,                 0.3972,                 1.5461,                 1.0128,                0.91868,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     97,                 1.5223,                 1.0147,                0.90793,                0.70621,                0.51804,                0.58937,                 0.4114,                 1.5061,                0.99143,                0.91071,             3.4986e-05,             3.4986e-05,             3.4986e-05
                     98,                 1.5084,                 1.0068,                0.90093,                0.71001,                0.51481,                0.58947,                0.40391,                 1.5303,                 1.0011,                0.91429,             2.9165e-05,             2.9165e-05,             2.9165e-05
                     99,                 1.5032,                0.99915,                0.90049,                0.70617,                0.52274,                0.59256,                0.41129,                  1.505,                0.98707,                0.91012,             2.3344e-05,             2.3344e-05,             2.3344e-05
                    100,                  1.503,                 1.0019,                0.90132,                0.70283,                0.51524,                0.59097,                 0.4067,                 1.5269,                0.99365,                0.91378,             1.7522e-05,             1.7522e-05,             1.7522e-05
